2014-11-17,600352.SK,6700,14.8,Buy,0
2014-11-17,600822.SK,8800,11.28,Buy,0
2014-11-17,002715.SK,3100,29.68,CloseBuy,-6968.9
2014-11-17,600872.SK,9800,10.18,Buy,0
2014-11-17,300275.SK,4600,19.54,CloseBuy,-8727
2014-11-17,600961.SK,10800,9.21,Buy,0
2014-11-17,300260.SK,5000,18.33,CloseBuy,-8399.6
2014-11-17,002445.SK,5200,19.2,Buy,0
2014-11-17,300369.SK,1300,64.27,CloseBuy,-11239.2
2014-11-17,002489.SK,7300,13.69,Buy,0
2014-11-17,600207.SK,18600,5.18,CloseBuy,-4483
2014-11-17,002519.SK,3800,23.78,CloseBuy,-7762
2014-11-17,300026.SK,3700,26.9,Buy,0
2014-11-17,600401.SK,12000,8.3,Buy,0
2014-11-17,300220.SK,2400,34.33,CloseBuy,-14630.2
2014-11-17,002659.SK,9000,9.82,CloseBuy,-11329.7
2014-11-17,002001.SK,6800,14.64,Buy,0
2014-11-17,002723.SK,2900,32.48,CloseBuy,-3175
2014-11-17,300285.SK,2500,33.23,CloseBuy,-13848.3
2014-11-18,600249.SK,14700,6.79,Buy,0
2014-11-18,600562.SK,2500,36.66,CloseBuy,-7949.8
2014-11-18,002149.SK,5200,19.17,Buy,0
2014-11-18,600072.SK,7700,11.61,CloseBuy,-11084.9
2014-11-18,600462.SK,15100,6.6,Buy,0
2014-11-18,300246.SK,3200,27.9,CloseBuy,-10039.5
2014-11-18,000799.SK,7500,13.23,Buy,0
2014-11-18,002338.SK,1800,48.86,CloseBuy,-11705.6
2014-11-18,002548.SK,10000,9.96,Buy,0
2014-11-18,300245.SK,4000,22.28,CloseBuy,-10454.5
2014-11-18,600389.SK,3300,29.99,Buy,0
2014-11-18,600658.SK,8100,12.22,Buy,0
2014-11-18,300397.SK,1000,90.3,CloseBuy,-4161.7
2014-11-18,002308.SK,11000,8.62,CloseBuy,-5958.3
2014-11-18,600695.SK,15200,6.56,Buy,0
2014-11-18,002214.SK,3700,23.19,CloseBuy,-13353.6
2014-11-18,000761.SK,19500,5.11,Buy,0
2014-11-19,300143.SK,7500,12.45,CloseBuy,-6109.8
2014-11-19,002264.SK,11000,8.14,CloseBuy,-11206.6
2014-11-19,000705.SK,9500,10.5,Buy,0
2014-11-19,601222.SK,3900,25.15,Buy,0
2014-11-19,600435.SK,3400,25.85,CloseBuy,-11475.1
2014-11-19,000950.SK,17600,5.67,Buy,0
2014-11-19,002492.SK,8500,10.86,CloseBuy,-8288.4
2014-11-19,002193.SK,7500,12.62,CloseBuy,-5742.4
2014-11-19,002110.SK,15900,5.86,CloseBuy,-7395.1
2014-11-19,002277.SK,6400,14.15,CloseBuy,-8607
2014-11-19,002124.SK,7700,12.94,Buy,0
2014-11-19,002262.SK,3500,26.84,CloseBuy,-4868.4
2014-11-19,002392.SK,8200,10.92,CloseBuy,-10376.8
2014-11-19,000695.SK,7000,14.1,Buy,0
2014-11-19,600988.SK,9800,10.19,Buy,0
2014-11-19,300356.SK,3800,26,Buy,0
2014-11-19,002234.SK,10200,9.71,Buy,0
2014-11-19,002286.SK,10200,9.11,CloseBuy,-7696.9
2014-11-19,002279.SK,3400,29,Buy,0
2014-11-19,300197.SK,6600,13.63,CloseBuy,-9713.3
2014-11-19,002455.SK,9800,10.18,Buy,0
2014-11-20,002143.SK,5200,17.28,CloseBuy,-10730.8
2014-11-20,002423.SK,7300,11.86,CloseBuy,-13367
2014-11-20,002105.SK,9700,8.92,CloseBuy,-14001.6
2014-11-20,002080.SK,7400,13.36,Buy,0
2014-11-20,002453.SK,11200,7.96,CloseBuy,-11174.2
2014-11-20,600523.SK,5100,16.94,CloseBuy,-12554.1
2014-11-20,600550.SK,14100,7.09,Buy,0
2014-11-20,002017.SK,6100,15.03,CloseBuy,-8906.7
2014-11-20,600171.SK,9000,11,Buy,0
2014-11-20,000809.SK,6300,15.77,Buy,0
2014-11-20,000603.SK,6600,15.03,Buy,0
2014-11-20,002246.SK,9000,10.17,CloseBuy,-9098.6
2014-11-20,600855.SK,4300,20.65,CloseBuy,-10336.5
2014-11-20,300134.SK,2300,42.9,Buy,0
2014-11-20,300073.SK,4400,19.95,CloseBuy,-11614.4
2014-11-20,002576.SK,6900,12.88,CloseBuy,-10813.8
2014-11-20,002526.SK,10200,8.49,CloseBuy,-13779
2014-11-20,000413.SK,13200,7.54,Buy,0
2014-11-20,000423.SK,2800,34.88,Buy,0
2014-11-20,000972.SK,16600,6,Buy,0
2014-11-20,300373.SK,3200,28.03,CloseBuy,-8314
2014-11-20,600644.SK,10000,9.19,CloseBuy,-8350.8
2014-11-20,002123.SK,11400,8.75,Buy,0
2014-11-20,002194.SK,7400,12.4,CloseBuy,-8690.1
2014-11-20,300130.SK,2900,31.15,CloseBuy,-7762.8
2014-11-20,002564.SK,11400,8.73,Buy,0
2014-11-20,300302.SK,3900,25.35,Buy,0
2014-11-20,002183.SK,6800,13.58,CloseBuy,-7489.7
2014-11-20,002265.SK,7800,11.6,CloseBuy,-9746.4
2014-11-21,002213.SK,8300,11.65,CloseBuy,-3318.7
2014-11-21,300143.SK,8100,12.32,Buy,0
2014-11-21,002328.SK,9400,9.54,CloseBuy,-10783.5
2014-11-21,600819.SK,11900,8.36,Buy,0
2014-11-21,600243.SK,11100,8.37,CloseBuy,-7771.8
2014-11-21,300067.SK,9700,9.82,CloseBuy,-4838.9
2014-11-21,002648.SK,7400,13.19,CloseBuy,-2953.2
2014-11-21,002022.SK,3900,24.24,CloseBuy,-4974
2014-11-21,601218.SK,12300,8.11,Buy,0
2014-11-21,002666.SK,6200,15.88,Buy,0
2014-11-21,600860.SK,14100,7.09,Buy,0
2014-11-21,000026.SK,10400,9.6,Buy,0
2014-11-21,002433.SK,8000,12.4,Buy,0
2014-11-21,000955.SK,17000,5.27,CloseBuy,-10736.5
2014-11-21,300232.SK,6200,15.7,CloseBuy,-3187.7
2014-11-21,600753.SK,6300,14.59,CloseBuy,-7922.1
2014-11-21,002383.SK,3300,28.83,CloseBuy,-3540.6
2014-11-21,300310.SK,5000,18.67,CloseBuy,-5809.8
2014-11-21,600493.SK,11900,8.34,Buy,0
2014-11-21,600644.SK,10800,9.2,Buy,0
2014-11-21,600718.SK,6700,14.82,Buy,0
2014-11-21,000733.SK,5700,15.89,CloseBuy,-9264.1
2014-11-21,300102.SK,6800,13.64,CloseBuy,-6608.1
2014-11-21,300208.SK,8800,11.32,Buy,0
2014-11-21,002395.SK,8300,11.96,Buy,0
2014-11-21,002634.SK,4500,21.03,CloseBuy,-4392.5
2014-11-21,300277.SK,6400,15.19,CloseBuy,-3270.9
2014-11-21,600119.SK,5700,17.44,Buy,0
2014-11-21,000561.SK,9800,9.6,CloseBuy,-6345.9
2014-11-21,002094.SK,7300,13.59,Buy,0
2014-11-21,002188.SK,7600,13.1,CloseBuy,-1128.9
2014-11-21,000823.SK,8200,11.41,CloseBuy,-7038.9
2014-11-21,300161.SK,6000,15.25,CloseBuy,-7628.6
2014-11-24,600592.SK,8600,11.62,CloseBuy,-169.1
2014-11-24,002209.SK,9400,10.6,Buy,0
2014-11-24,300257.SK,2900,33.7,Buy,0
2014-11-24,600390.SK,6800,14.47,CloseBuy,-1746
2014-11-24,000546.SK,11100,8.98,Buy,0
2014-11-24,002683.SK,3300,30.81,CloseBuy,1073.2
2014-11-24,000636.SK,12100,8.23,Buy,0
2014-11-24,002609.SK,4900,20.3,Buy,0
2014-11-24,600730.SK,7800,12.63,CloseBuy,-1448.6
2014-11-24,002074.SK,5600,17.81,Buy,0
2014-11-24,300207.SK,3500,28.3,Buy,0
2014-11-24,002668.SK,4700,21.1,Buy,0
2014-11-24,600847.SK,6000,15.9,CloseBuy,-4952
2014-11-24,000793.SK,8200,12.1,Buy,0
2014-11-24,000576.SK,7600,13.2,CloseBuy,6.5
2014-11-25,300376.SK,2800,35.27,Buy,0
2014-11-25,600339.SK,15700,6.35,Buy,0
2014-11-25,300184.SK,6800,14.37,CloseBuy,-2897.9
2014-11-25,300129.SK,9100,10.89,Buy,0
2014-11-25,300327.SK,6100,16.31,Buy,0
2014-11-25,002118.SK,6600,15.15,Buy,0
2014-11-25,000005.SK,27700,3.95,CloseBuy,8209.2
2014-11-25,002499.SK,4200,23.69,Buy,0
2014-11-25,000659.SK,23200,4.37,CloseBuy,553.1
2014-11-25,002416.SK,7300,13.6,Buy,0
2014-11-25,000078.SK,10600,10.1,CloseBuy,6566.3
2014-11-25,000852.SK,4400,22.33,Buy,0
2014-11-25,300039.SK,6700,14.76,Buy,0
2014-11-25,002230.SK,3200,29.61,CloseBuy,-3960.3
2014-11-25,300116.SK,12500,7.96,Buy,0
2014-11-25,002100.SK,7500,13.27,CloseBuy,-1121.7
2014-11-25,002722.SK,3600,27.67,Buy,0
2014-11-26,000963.SK,1700,53,CloseBuy,-4926.5
2014-11-26,002059.SK,9100,11.15,CloseBuy,1757.8
2014-11-26,000005.SK,25300,3.94,Buy,0
2014-11-26,000893.SK,7700,14.17,CloseBuy,8662.8
2014-11-26,600975.SK,9700,10.23,Buy,0
2014-11-26,000755.SK,19000,5.25,Buy,0
2014-11-26,300188.SK,3100,30.38,CloseBuy,-3757.9
2014-11-27,002317.SK,4700,20.8,CloseBuy,-1338.3
2014-11-27,000703.SK,13400,7.45,Buy,0
2014-11-27,002633.SK,4800,20.94,CloseBuy,357.2
2014-11-27,600355.SK,11500,8.69,Buy,0
2014-11-27,300029.SK,10500,9.47,CloseBuy,-596
2014-11-27,300035.SK,10200,9.8,Buy,0
2014-11-28,002375.SK,4800,19.61,CloseBuy,-5028.5
2014-11-28,600352.SK,6700,14.76,CloseBuy,-995
2014-11-28,600831.SK,10500,9.5,Buy,0
2014-11-28,002532.SK,7900,12.64,Buy,0
2014-11-28,600872.SK,9800,10.35,CloseBuy,862
2014-11-28,000802.SK,6800,14.72,CloseBuy,623.8
2014-11-28,600961.SK,10800,9.51,CloseBuy,2408.4
2014-11-28,600793.SK,7400,13.5,Buy,0
2014-11-28,600273.SK,11100,9,Buy,0
2014-11-28,002445.SK,5200,22.1,CloseBuy,14286.8
2014-11-28,002489.SK,7300,14.9,CloseBuy,8034.8
2014-11-28,600516.SK,8900,11.17,Buy,0
2014-11-28,600725.SK,19600,5.09,Buy,0
